Date,Open,High,Low,Close,Volume,Market Cap,,,
Sep-11-2022,21648.39,21810.00021,21381.9013,21789.45241,51346227840,4.13659E+11,,,Use column E and colum A for BTC data
Sep-10-2022,21362.69347,21767.7515,21166.98725,21661.704,62426090340,4.09414E+11,,,
Sep-09-2022,19324.6317,21396.56903,19323.3601,21370.64087,60209335509,3.96785E+11,,,
Sep-08-2022,19283.33315,19428.68675,19081.5462,19318.4204,49633780892,3.68645E+11,,,
Sep-07-2022,18785.90733,19446.587,18578.84042,19275.30356,56371120128,3.61859E+11,,,
Sep-06-2022,19786.6074,20154.40267,18744.9048,18812.06104,48719532558,3.75268E+11,,,
Sep-05-2022,20000.39948,20040.55329,19660.14857,19808.09596,35287255189,3.78844E+11,,,
Sep-04-2022,19830.80646,19999.59658,19620.9343,19975.3081,30188903488,3.7903E+11,,,
Sep-03-2022,19957.5713,20046.5481,19678.207,19834.79562,46422244779,3.79758E+11,,,
Sep-02-2022,20123.43013,20409.61699,19787.50041,19927.5466,53777627900,3.84505E+11,,,
Sep-01-2022,20053.474,20185.9976,19619.6549,20145.5884,59976236430,3.8222E+11,,,
Aug-31-2022,19794.2573,20438.0133,19794.2573,20046.9471,68910236345,3.86652E+11,,,
Aug-30-2022,20295.05747,20558.0115,19595.5805,19768.0653,59130067822,3.85411E+11,,,
Aug-29-2022,19539.5807,20360.7005,19539.5807,20280.87118,50011859822,3.82224E+11,,,
Aug-28-2022,20032.7284,20133.3567,19606.7351,19606.7351,41580848932,3.82562E+11,,,
Aug-27-2022,20254.82006,20331.54696,19870.57393,20050.5705,59715633081,3.84932E+11,,,
Aug-26-2022,21563.19311,21812.7889,20122.77851,20215.51485,54504579115,4.04942E+11,,,
Aug-25-2022,21367.72491,21773.14866,21330.7948,21591.28483,50399097415,4.13233E+11,,,
Aug-24-2022,21512.99519,21826.3262,21172.07432,21378.10481,50558561664,4.10769E+11,,,
Aug-23-2022,21412.8329,21632.79067,20946.7834,21516.13082,56455916260,4.09246E+11,,,
Aug-22-2022,21511.40548,21511.40548,20931.27811,21418.635,48612705849,4.06816E+11,,,
Aug-21-2022,21138.10908,21671.11018,21085.99916,21515.70635,42209985479,4.08763E+11,,,
Aug-20-2022,20836.67633,21336.82388,20829.83792,21163.4085,61145030799,4.04935E+11,,,
