T5YIE,ifl
2014-01-02,1.71
2014-01-03,1.69
2014-01-04,1.71
2014-01-05,1.73
2014-01-06,1.75
2014-01-07,1.83
2014-01-08,1.76
2014-01-09,1.83
2014-01-10,1.75
2014-01-11,1.7366666666666666
2014-01-12,1.7233333333333334
2014-01-13,1.71
2014-01-14,1.76
2014-01-15,1.72
2014-01-16,1.74
2014-01-17,1.72
2014-01-18,1.7175
2014-01-19,1.7149999999999999
2014-01-20,1.7125
2014-01-21,1.71
2014-01-22,1.79
2014-01-23,1.72
2014-01-24,1.68
2014-01-25,1.6933333333333334
2014-01-26,1.7066666666666666
2014-01-27,1.72
2014-01-28,1.71
2014-01-29,1.72
2014-01-30,1.76
2014-01-31,1.72
2014-02-01,1.7133333333333334
2014-02-02,1.7066666666666666
2014-02-03,1.7
2014-02-04,1.77
2014-02-05,1.78
2014-02-06,1.82
2014-02-07,1.77
2014-02-08,1.7766666666666666
2014-02-09,1.7833333333333334
2014-02-10,1.79
2014-02-11,1.8
2014-02-12,1.83
2014-02-13,1.77
2014-02-14,1.67
2014-02-15,1.7
2014-02-16,1.73
2014-02-17,1.76
2014-02-18,1.79
2014-02-19,1.78
2014-02-20,1.78
2014-02-21,1.74
2014-02-22,1.7533333333333334
2014-02-23,1.7666666666666666
2014-02-24,1.78
2014-02-25,1.78
2014-02-26,1.76
2014-02-27,1.81
2014-02-28,1.79
2014-03-01,1.7866666666666666
2014-03-02,1.7833333333333334
2014-03-03,1.78
2014-03-04,1.79
2014-03-05,1.8
2014-03-06,1.84
2014-03-07,1.83
2014-03-08,1.8466666666666667
2014-03-09,1.8633333333333333
2014-03-10,1.88
2014-03-11,1.86
2014-03-12,1.82
2014-03-13,1.75
2014-03-14,1.74
2014-03-15,1.76
2014-03-16,1.78
2014-03-17,1.8
2014-03-18,1.77
2014-03-19,1.73
2014-03-20,1.75
2014-03-21,1.79
2014-03-22,1.79
2014-03-23,1.79
2014-03-24,1.79
2014-03-25,1.7
2014-03-26,1.75
2014-03-27,1.73
2014-03-28,1.72
2014-03-29,1.7133333333333334
2014-03-30,1.7066666666666666
2014-03-31,1.7
2014-04-01,1.71
2014-04-02,1.72
2014-04-03,1.68
2014-04-04,1.71
2014-04-05,1.6766666666666667
2014-04-06,1.6433333333333333
2014-04-07,1.61
2014-04-08,1.71
2014-04-09,1.7
2014-04-10,1.69
2014-04-11,1.64
2014-04-12,1.6633333333333333
2014-04-13,1.6866666666666665
2014-04-14,1.71
2014-04-15,1.68
2014-04-16,1.73
2014-04-17,1.95
2014-04-18,1.955
2014-04-19,1.96
2014-04-20,1.9649999999999999
2014-04-21,1.97
2014-04-22,1.98
2014-04-23,1.98
2014-04-24,1.99
2014-04-25,1.96
2014-04-26,1.9566666666666666
2014-04-27,1.9533333333333334
2014-04-28,1.95
2014-04-29,1.95
2014-04-30,1.96
2014-05-01,1.96
2014-05-02,1.95
2014-05-03,1.94
2014-05-04,1.93
2014-05-05,1.92
2014-05-06,1.91
2014-05-07,1.92
2014-05-08,1.93
2014-05-09,1.92
2014-05-10,1.9166666666666665
2014-05-11,1.9133333333333333
2014-05-12,1.91
2014-05-13,1.89
2014-05-14,1.92
2014-05-15,1.96
2014-05-16,1.94
2014-05-17,1.9366666666666665
2014-05-18,1.9333333333333333
2014-05-19,1.93
2014-05-20,1.92
2014-05-21,1.95
2014-05-22,1.97
2014-05-23,1.97
2014-05-24,1.9649999999999999
2014-05-25,1.96
2014-05-26,1.955
2014-05-27,1.95
2014-05-28,1.94
2014-05-29,1.96
2014-05-30,1.93
2014-05-31,1.93
2014-06-01,1.93
2014-06-02,1.93
2014-06-03,1.92
2014-06-04,1.9
2014-06-05,1.92
2014-06-06,1.93
2014-06-07,1.9366666666666665
2014-06-08,1.9433333333333334
2014-06-09,1.95
2014-06-10,1.94
2014-06-11,1.94
2014-06-12,1.95
2014-06-13,1.93
2014-06-14,1.9266666666666665
2014-06-15,1.9233333333333333
2014-06-16,1.92
2014-06-17,1.97
2014-06-18,1.98
2014-06-19,2.02
2014-06-20,2.02
2014-06-21,2.0233333333333334
2014-06-22,2.0266666666666664
2014-06-23,2.03
2014-06-24,2.05
2014-06-25,2.03
2014-06-26,2.02
2014-06-27,2.03
2014-06-28,2.02
2014-06-29,2.01
2014-06-30,2
2014-07-01,2
2014-07-02,2.01
2014-07-03,2.03
2014-07-04,2.025
2014-07-05,2.0199999999999996
2014-07-06,2.0149999999999997
2014-07-07,2.01
2014-07-08,1.99
2014-07-09,1.98
2014-07-10,2
2014-07-11,1.99
2014-07-12,1.99
2014-07-13,1.99
2014-07-14,1.99
2014-07-15,1.96
2014-07-16,1.95
2014-07-17,1.97
2014-07-18,1.96
2014-07-19,1.9633333333333334
2014-07-20,1.9666666666666666
2014-07-21,1.97
2014-07-22,1.93
2014-07-23,1.92
2014-07-24,1.93
2014-07-25,1.95
2014-07-26,1.95
2014-07-27,1.95
2014-07-28,1.95
2014-07-29,1.94
2014-07-30,1.96
2014-07-31,1.97
2014-08-01,1.92
2014-08-02,1.9133333333333333
2014-08-03,1.9066666666666665
2014-08-04,1.9
2014-08-05,1.9
2014-08-06,1.9
2014-08-07,1.89
2014-08-08,1.86
2014-08-09,1.86
2014-08-10,1.86
2014-08-11,1.86
