BTCDR,ETFDR,GOLDDR,CRYPTDR,FBE,FFL,TBE
0.020351699,0.010932212,0.007755102,,0.01183432,0.007117438,0
0.049821673,0.000586803,0.003186175,,-0.011695906,-0.007067138,0
0.086118835,0.000586458,0.003176056,,-0.011560694,-0.007117438,0
0.021166968,0.000586115,0.003166,,-0.011428571,-0.007168459,0
-0.158703018,-0.005690377,-0.015084651,,-0.043715847,-0.028880866,0
0.050773067,-0.005891239,-0.005295316,,0.039772727,0.048327138,0.013274336
0.004912664,0.002878395,0.004095004,,-0.038251366,-0.010638298,0.008733624
0.025529603,0.015195028,0.014926591,,0.045714286,0.014336918,-0.008658009
0.05235584,0.002106533,0.000991186,,0.007677543,0,-0.002911208
-0.055506319,0.002102104,0.000990205,,0.007736944,0,-0.002919708
-0.02550914,0.002097696,0.000989225,,0.007797271,0,-0.002928258
-0.009427009,-0.009337283,0.002804487,,-0.028409091,-0.024734982,-0.004405286
0.03315852,-0.001918384,-0.012385138,,0.023255814,0.028985507,0.008849558
-0.029353003,0.001086386,0.004449838,,-0.011494253,-0.028169014,-0.013157895
-0.025118773,0.009516646,0.006846557,,0.011627907,0.014492754,0.004444444
0.031130315,-0.002542799,0.001546667,,0.001455604,0.000892857,0
0.036857143,-0.002549282,0.001544278,,0.001457726,0.000892061,0
-0.0008726,-0.002555797,0.001541897,,0.001459854,0.000891266,0
-0.007228223,-0.002562347,-0.014174232,,0.001461988,0.000890472,0
-0.021205913,-0.00426061,0.002423263,,-0.044692737,-0.035587189,-0.004424779
-0.027850377,0.021813902,0.017727639,,0.040697674,-0.062730627,-0.053333333
-0.030375651,0.004105427,0.003167063,,0.023809524,0.023622047,0.004694836
0.070934799,-0.003625268,-0.001710076,,-0.007874016,-0.005128205,0
0.037101252,-0.003638458,-0.001713006,,-0.0078125,-0.005154639,0
-0.128648563,-0.003651745,-0.001715945,,-0.007751938,-0.005181347,0
