Macrotrends Data Download,
,
,
,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",
,
,
date, value
14/9/2009,994.25
15/9/2009,997.5
16/9/2009,1017
17/9/2009,1020.5
18/9/2009,1014
21/9/2009,999.25
22/9/2009,1015.75
23/9/2009,1014.75
24/9/2009,1014
25/9/2009,997
28/9/2009,990.5
29/9/2009,991.75
30/9/2009,1001.25
1/10/2009,1005.75
2/10/2009,998
5/10/2009,1004.25
6/10/2009,1020.25
7/10/2009,1047
8/10/2009,1054.75
9/10/2009,1046.75
12/10/2009,1052
13/10/2009,1064.5
14/10/2009,1066
15/10/2009,1052.5
16/10/2009,1047.75
19/10/2009,1054.5
20/10/2009,1064
21/10/2009,1053.5
22/10/2009,1054.75
23/10/2009,1061.25
26/10/2009,1055
27/10/2009,1040.75
28/10/2009,1035.5
29/10/2009,1034
30/10/2009,1044.5
2/11/2009,1052
3/11/2009,1058
4/11/2009,1091.75
5/11/2009,1088
6/11/2009,1095
9/11/2009,1108.5
10/11/2009,1099.75
11/11/2009,1114.75
12/11/2009,1116
13/11/2009,1107.5
16/11/2009,1128.75
17/11/2009,1131.75
18/11/2009,1146
19/11/2009,1136
20/11/2009,1142.5
23/11/2009,1166
24/11/2009,1170.25
25/11/2009,1176.5
26/11/2009,1183
27/11/2009,1164.5
30/11/2009,1172
1/12/2009,1193.5
2/12/2009,1211.5
3/12/2009,1218.25
4/12/2009,1203.25
7/12/2009,1147.5
8/12/2009,1164.25
9/12/2009,1142.25
10/12/2009,1125.75
11/12/2009,1140
14/12/2009,1120
15/12/2009,1115
16/12/2009,1134
17/12/2009,1121.5
18/12/2009,1106.5
21/12/2009,1113.25
22/12/2009,1094.25
23/12/2009,1080.5
24/12/2009,1104.5
29/12/2009,1103
30/12/2009,1092.5
31/12/2009,1104
4/1/2010,1113
5/1/2010,1125.25
6/1/2010,1125
7/1/2010,1130.75
8/1/2010,1121.75
11/1/2010,1158
12/1/2010,1152.75
13/1/2010,1132.75
14/1/2010,1137.5
15/1/2010,1132
18/1/2010,1135.75
19/1/2010,1134
20/1/2010,1129
21/1/2010,1104
22/1/2010,1096.5
25/1/2010,1103.5
26/1/2010,1090.75
27/1/2010,1094.75
28/1/2010,1091.75
29/1/2010,1082.75
1/2/2010,1082
2/2/2010,1114
3/2/2010,1118.5
4/2/2010,1102.5
5/2/2010,1052.25
8/2/2010,1070
9/2/2010,1068
10/2/2010,1075.5
11/2/2010,1079.5
12/2/2010,1078.25
15/2/2010,1099.5
16/2/2010,1115.25
17/2/2010,1118.25
18/2/2010,1105.5
19/2/2010,1107
22/2/2010,1119.75
23/2/2010,1112
24/2/2010,1093
25/2/2010,1092.75
